FDS,1,5,20230119,1-5
FDS,1,7,20230119,1-7
FDS,3,5,20230119,3-5
FDS,3,7,20230119,3-7
FDS,3,30,20230119,3-30
FDS,3,34,20230119,3-34
FDS,3,36,20230119,3-36
FDS,3,37,20230119,3-37
FDS,4,5,20230119,4-5
FDS,4,7,20230119,4-7
FDS,4,30,20230119,4-30
FDS,4,34,20230119,4-34
FDS,4,36,20230119,4-36
FDS,4,37,20230119,4-37
FDS,5,7,20230119,5-7
FDS,6,5,20230119,6-5
FDS,6,7,20230119,6-7
FDS,6,30,20230119,6-30
FDS,6,34,20230119,6-34
FDS,6,36,20230119,6-36
FDS,6,37,20230119,6-37
FDS,8,30,20230119,8-30
FDS,8,34,20230119,8-34
FDS,8,36,20230119,8-36
FDS,8,37,20230119,8-37
FDS,9,30,20230119,9-30
FDS,9,34,20230119,9-34
FDS,9,36,20230119,9-36
FDS,9,37,20230119,9-37
FDS,10,30,20230119,10-30
FDS,10,34,20230119,10-34
FDS,10,36,20230119,10-36
FDS,10,37,20230119,10-37
FDS,11,34,20230119,11-34
FDS,11,36,20230119,11-36
FDS,14,30,20230119,14-30
FDS,14,36,20230119,14-36
FDS,21,30,20230119,21-30
FDS,21,34,20230119,21-34
FDS,21,36,20230119,21-36
FDS,21,37,20230119,21-37
FDS,22,30,20230119,22-30
FDS,22,34,20230119,22-34
FDS,22,36,20230119,22-36
FDS,35,30,20230119,35-30
FDS,35,34,20230119,35-34
FDS,35,36,20230119,35-36
FDS,35,37,20230119,35-37
FDS,36,30,20230119,36-30
FDS,36,34,20230119,36-34
FDS,36,36,20230119,36-36
FDS,36,37,20230119,36-37
FDS,41,34,20230119,41-34
FDS,41,36,20230119,41-36
FDS,3,30,20230119,3-30
FDS,3,34,20230119,3-34
FDS,3,36,20230119,3-36
FDS,3,37,20230119,3-37
FDS,4,7,20230119,4-7
FDS,4,30,20230119,4-30
FDS,4,34,20230119,4-34
FDS,4,36,20230119,4-36
FDS,4,37,20230119,4-37
